airfoil,reynolds,mach,alpha,CL,CD,CDp,CM
goe590,50000,0.0,-5.0,-0.3106,0.07246,0.04677,-0.0164
goe590,50000,0.0,-4.5,-0.2776,0.0779,0.03994,-0.0153
goe590,50000,0.0,-4.0,-0.2996,0.06597,0.03834,-0.0136
goe590,50000,0.0,-3.5,-0.3067,0.05724,0.03433,-0.0075
goe590,50000,0.0,-3.0,-0.2455,0.04915,0.02677,-0.0143
goe590,50000,0.0,-2.5,-0.2011,0.03858,0.01893,-0.0124
goe590,50000,0.0,-1.5,0.0843,0.02705,0.00699,-0.0449
goe590,50000,0.0,-1.0,0.1535,0.02586,0.00568,-0.0482
goe590,50000,0.0,-0.5,0.2307,0.02428,0.00544,-0.0544
goe590,50000,0.0,0.0,0.2904,0.0243,0.00609,-0.058
goe590,50000,0.0,0.5,0.3362,0.02539,0.00728,-0.0596
goe590,50000,0.0,1.0,0.363,0.02743,0.0088,-0.058
goe590,50000,0.0,1.5,0.4635,0.02709,0.01077,-0.0722
goe590,50000,0.0,2.0,0.4805,0.02911,0.01278,-0.0686
goe590,50000,0.0,2.5,0.5062,0.03134,0.01495,-0.0667
goe590,50000,0.0,3.0,0.5256,0.03413,0.01732,-0.0645
goe590,50000,0.0,3.5,0.5712,0.03613,0.01905,-0.0653
goe590,50000,0.0,4.0,0.6167,0.03901,0.02076,-0.0663
goe590,50000,0.0,4.5,0.6215,0.04333,0.0235,-0.0629
goe590,50000,0.0,5.0,0.6204,0.04728,0.02621,-0.0589
goe590,50000,0.0,5.5,0.6227,0.05089,0.02889,-0.0556
goe590,50000,0.0,6.0,0.636,0.05489,0.03154,-0.0538
goe590,50000,0.0,6.5,0.7032,0.05022,0.0288,-0.0482
goe590,50000,0.0,7.5,0.5758,0.08602,0.04497,-0.0485
goe590,50000,0.0,8.5,0.9769,0.05787,0.02086,-0.0083
goe590,50000,0.0,9.0,0.9411,0.06423,0.02739,-0.0019
goe590,50000,0.0,9.5,0.8975,0.07071,0.03365,0.0025
goe590,50000,0.0,10.0,0.8567,0.07946,0.04245,0.0014
goe590,50000,0.0,10.5,0.8203,0.09071,0.05413,-0.0035
goe590,50000,0.0,11.0,0.7918,0.1041,0.06822,-0.0103
goe590,50000,0.0,11.5,0.7844,0.11874,0.0831,-0.0164
goe590,50000,0.0,12.0,0.753,0.13283,0.09779,-0.0244
goe590,50000,0.0,12.5,0.7201,0.14361,0.1141,-0.0346
goe590,50000,0.0,13.0,0.6745,0.16393,0.12,-0.0532
goe590,50000,0.0,13.5,0.6783,0.17014,0.12894,-0.0576
goe590,50000,0.0,14.0,0.6891,0.17721,0.13795,-0.061
goe590,50000,0.0,14.5,0.7133,0.18678,0.14725,-0.0627
goe590,50000,0.0,15.0,0.757,0.23073,0.16048,-0.0641
goe590,100000,0.0,-5.0,-0.1999,0.06724,0.03647,-0.0439
goe590,100000,0.0,-4.5,-0.1691,0.05336,0.03118,-0.0449
goe590,100000,0.0,-4.0,-0.0969,0.05439,0.02319,-0.0473
